Accuracy,F1Score,FalseNegatives,FalsePositives,Precision,Recall,TrueNegatives,TruePositives,loss,val_Accuracy,val_F1Score,val_FalseNegatives,val_FalsePositives,val_Precision,val_Recall,val_TrueNegatives,val_TruePositives,val_loss,Model Type,Epoch
0.5917159914970398,"tf.Tensor([0.04356435 0.74046206], shape=(2,), dtype=float32)",1107,52,0.59375,0.064243451,1131,76,0.7079928517341614,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.6854183077812195,DEEPScreen,1
0.6001690626144409,"tf.Tensor([0.       0.750132], shape=(2,), dtype=float32)",1140,21,0.671875,0.036348268,1162,43,0.6757127046585083,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.6738367080688477,DEEPScreen,2
0.6001690626144409,"tf.Tensor([0.       0.750132], shape=(2,), dtype=float32)",1183,0,0,0,1183,0,0.6737999320030212,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.6768831014633179,DEEPScreen,3
0.6001690626144409,"tf.Tensor([0.       0.750132], shape=(2,), dtype=float32)",1183,0,0,0,1183,0,0.6771798729896545,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,0,0,0,297,0,0.6765009164810181,DEEPScreen,4
0.6001690626144409,"tf.Tensor([0.       0.750132], shape=(2,), dtype=float32)",1183,0,0,0,1183,0,0.6674559712409973,0.5993266105651855,"tf.Tensor([0.         0.74947363], shape=(2,), dtype=float32)",297,1,0,0,296,0,0.6471458673477173,DEEPScreen,5
0.6306001543998718,"tf.Tensor([0.26800665 0.75296766], shape=(2,), dtype=float32)",1124,13,0.8194444179534912,0.049873203,1170,59,0.64392966,0.6228955984115601,"tf.Tensor([0.12499999 0.75965655], shape=(2,), dtype=float32)",297,1,0,0,296,0,0.6371034979820251,DEEPScreen,6
0.6804733872413635,"tf.Tensor([0.52151895 0.76015216], shape=(2,), dtype=float32)",1049,23,0.8535031676292419,0.11327134072780609,1160,134,0.6056937575340271,0.7272727489471436,"tf.Tensor([0.57142854 0.79999995], shape=(2,), dtype=float32)",209,26,0.7719298005104065,0.29629629850387573,271,88,0.5971490740776062,DEEPScreen,7
0.7235841155052185,"tf.Tensor([0.6434023 0.7743271], shape=(2,), dtype=float32)",832,47,0.8819095492362976,0.2967033088207245,1136,351,0.5330075621604919,0.7171717286109924,"tf.Tensor([0.52272725 0.799043  ], shape=(2,), dtype=float32)",220,15,0.8369565010070801,0.25925925374031067,282,77,0.5660021305084229,DEEPScreen,8
0.7464074492454529,"tf.Tensor([0.65517235 0.7994652 ], shape=(2,), dtype=float32)",722,39,0.921999991,0.3896872401237488,1144,461,0.48724356293678284,0.7912458181381226,"tf.Tensor([0.7047619 0.8385416], shape=(2,), dtype=float32)",172,18,0.8741258978843689,0.4208754301071167,279,125,0.5107420086860657,DEEPScreen,9
0.8258664608001709,"tf.Tensor([0.7770563 0.8571428], shape=(2,), dtype=float32)",499,49,0.9331514239311218,0.5781910419464111,1134,684,0.3777124881744385,0.7710437774658203,"tf.Tensor([0.73015875 0.8011695 ], shape=(2,), dtype=float32)",170,19,0.8698630332946777,0.4276094138622284,278,127,0.4911937713623047,DEEPScreen,10
0.8562975525856018,"tf.Tensor([0.8195329 0.880618 ], shape=(2,), dtype=float32)",440,42,0.946496844,0.6280642151832581,1141,743,0.32504528760910034,0.7609427571296692,"tf.Tensor([0.59887   0.8297362], shape=(2,), dtype=float32)",125,30,0.8514851331710815,0.5791245698928833,267,172,0.5772214531898499,DEEPScreen,11
0.9163144826889038,"tf.Tensor([0.8945686 0.9306236], shape=(2,), dtype=float32)",291,25,0.972737193,0.7540152072906494,1158,892,0.20938536524772644,0.8316498398780823,"tf.Tensor([0.78632474 0.86111104], shape=(2,), dtype=float32)",103,30,0.8660714030265808,0.6531986594200134,267,194,0.5920556783676147,DEEPScreen,12
